MSA ID,NAME,,SOURCE: https://www.regulations.gov/document/OMB-2021-0001-0004
10500,"Albany, GA Metro Area",,
10540,"Albany-Lebanon, OR Metro Area",,
10780,"Alexandria, LA Metro Area",,
11020,"Altoona, PA Metro Area",,
11180,"Ames, IA Metro Area",,
11500,"Anniston-Oxford, AL Metro Area",,
12220,"Auburn-Opelika, AL Metro Area",,
12620,"Bangor, ME Metro Area",,
12980,"Battle Creek, MI Metro Area",,
13020,"Bay City, MI Metro Area",,
13220,"Beckley, WV Metro Area",,
13460,"Bend, OR Metro Area",,
13900,"Bismarck, ND Metro Area",,
13980,"Blacksburg-Christiansburg, VA Metro Area",,
14100,"Bloomsburg-Berwick, PA Metro Area",,
14540,"Bowling Green, KY Metro Area",,
15260,"Brunswick, GA Metro Area",,
15680,"California-Lexington Park, MD Metro Area",,
16020,"Cape Girardeau, MO-IL Metro Area",,
16060,"Carbondale-Marion, IL Metro Area",,
16180,"Carson City, NV Metro Area",,
16220,"Casper, WY Metro Area",,
16540,"Chambersburg-Waynesboro, PA Metro Area",,
16820,"Charlottesville, VA Metro Area",,
16940,"Cheyenne, WY Metro Area",,
17020,"Chico, CA Metro Area",,
17420,"Cleveland, TN Metro Area",,
17660,"Coeur d'Alene, ID Metro Area",,
18020,"Columbus, IN Metro Area",,
18700,"Corvallis, OR Metro Area",,
19060,"Cumberland, MD-WV Metro Area",,
19140,"Dalton, GA Metro Area",,
19180,"Danville, IL Metro Area",,
19300,"Daphne-Fairhope-Foley, AL Metro Area",,
19460,"Decatur, AL Metro Area",,
19500,"Decatur, IL Metro Area",,
20020,"Dothan, AL Metro Area",,
20220,"Dubuque, IA Metro Area",,
20700,"East Stroudsburg, PA Metro Area",,
21060,"Elizabethtown-Fort Knox, KY Metro Area",,
21300,"Elmira, NY Metro Area",,
21420,"Enid, OK Metro Area",,
21820,"Fairbanks, AK Metro Area",,
22140,"Farmington, NM Metro Area",,
22380,"Flagstaff, AZ Metro Area",,
22500,"Florence, SC Metro Area",,
22520,"Florence-Muscle Shoals, AL Metro Area",,
22540,"Fond du Lac, WI Metro Area",,
23460,"Gadsden, AL Metro Area",,
23900,"Gettysburg, PA Metro Area",,
24020,"Glens Falls, NY Metro Area",,
24140,"Goldsboro, NC Metro Area",,
24220,"Grand Forks, ND-MN Metro Area",,
24260,"Grand Island, NE Metro Area",,
24420,"Grants Pass, OR Metro Area",,
24500,"Great Falls, MT Metro Area",,
25020,"Guayama, PR Metro Area",,
25220,"Hammond, LA Metro Area",,
25260,"Hanford-Corcoran, CA Metro Area",,
25500,"Harrisonburg, VA Metro Area",,
25620,"Hattiesburg, MS Metro Area",,
25940,"Hilton Head Island-Bluffton, SC Metro Area",,
25980,"Hinesville, GA Metro Area",,
26140,"Homosassa Springs, FL Metro Area",,
26300,"Hot Springs, AR Metro Area",,
26820,"Idaho Falls, ID Metro Area",,
27060,"Ithaca, NY Metro Area",,
27100,"Jackson, MI Metro Area",,
27180,"Jackson, TN Metro Area",,
27500,"Janesville-Beloit, WI Metro Area",,
27620,"Jefferson City, MO Metro Area",,
27780,"Johnstown, PA Metro Area",,
27860,"Jonesboro, AR Metro Area",,
27900,"Joplin, MO Metro Area",,
27980,"Kahului-Wailuku-Lahaina, HI Metro Area",,
28100,"Kankakee, IL Metro Area",,
28740,"Kingston, NY Metro Area",,
29020,"Kokomo, IN Metro Area",,
29420,"Lake Havasu City-Kingman, AZ Metro Area",,
29940,"Lawrence, KS Metro Area",,
30020,"Lawton, OK Metro Area",,
30140,"Lebanon, PA Metro Area",,
30300,"Lewiston, ID-WA Metro Area",,
30340,"Lewiston-Auburn, ME Metro Area",,
30620,"Lima, OH Metro Area",,
30860,"Logan, UT-ID Metro Area",,
30980,"Longview, TX Metro Area",,
31020,"Longview, WA Metro Area",,
31460,"Madera, CA Metro Area",,
31740,"Manhattan, KS Metro Area",,
31860,"Mankato, MN Metro Area",,
31900,"Mansfield, OH Metro Area",,
33140,"Michigan City-La Porte, IN Metro Area",,
33220,"Midland, MI Metro Area",,
33540,"Missoula, MT Metro Area",,
33740,"Monroe, LA Metro Area",,
34060,"Morgantown, WV Metro Area",,
34100,"Morristown, TN Metro Area",,
34580,"Mount Vernon-Anacortes, WA Metro Area",,
34620,"Muncie, IN Metro Area",,
34900,"Napa, CA Metro Area",,
35100,"New Bern, NC Metro Area",,
35660,"Niles, MI Metro Area",,
36140,"Ocean City, NJ Metro Area",,
36780,"Oshkosh-Neenah, WI Metro Area",,
36980,"Owensboro, KY Metro Area",,
37620,"Parkersburg-Vienna, WV Metro Area",,
38220,"Pine Bluff, AR Metro Area",,
38340,"Pittsfield, MA Metro Area",,
38540,"Pocatello, ID Metro Area",,
39150,"Prescott Valley-Prescott, AZ Metro Area",,
39660,"Rapid City, SD Metro Area",,
40580,"Rocky Mount, NC Metro Area",,
40660,"Rome, GA Metro Area",,
41540,"Salisbury, MD-DE Metro Area",,
41660,"San Angelo, TX Metro Area",,
42020,"San Luis Obispo-Paso Robles, CA Metro Area",,
42140,"Santa Fe, NM Metro Area",,
42700,"Sebring-Avon Park, FL Metro Area",,
43100,"Sheboygan, WI Metro Area",,
43300,"Sherman-Denison, TX Metro Area",,
43420,"Sierra Vista-Douglas, AZ Metro Area",,
44220,"Springfield, OH Metro Area",,
41100,"St. George, UT Metro Area",,
41140,"St. Joseph, MO-KS Metro Area",,
44300,"State College, PA Metro Area",,
44420,"Staunton, VA Metro Area",,
44940,"Sumter, SC Metro Area",,
45460,"Terre Haute, IN Metro Area",,
45500,"Texarkana, TX-AR Metro Area",,
46300,"Twin Falls, ID Metro Area",,
46660,"Valdosta, GA Metro Area",,
47020,"Victoria, TX Metro Area",,
47220,"Vineland-Bridgeton, NJ Metro Area",,
47460,"Walla Walla, WA Metro Area",,
48060,"Watertown-Fort Drum, NY Metro Area",,
48140,"Wausau-Weston, WI Metro Area",,
48260,"Weirton-Steubenville, WV-OH Metro Area",,
48300,"Wenatchee, WA Metro Area",,
48540,"Wheeling, WV-OH Metro Area",,
48700,"Williamsport, PA Metro Area",,
49020,"Winchester, VA-WV Metro Area",,
49500,"Yauco, PR Metro Area",,
48660,"Wichita Falls, TX Metro Area",,
